Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Win,Loose,D/T,Opponent
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Kiffa,CH,aggressive,"Dyad,Win",POINT,25.607,25.607,NA,1,0,D,Nancy
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Nancy,AHI,submissive,"Dyad,Lose",POINT,26.102,26.102,NA,0,1,D,Kiffa
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Kiffa,WC,aggressive,"Dyad,Win",POINT,37.864,37.864,NA,1,0,D,Nancy
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Nancy,ALI,submissive,"Dyad,Lose",POINT,38.864,38.864,NA,0,1,D,Kiffa
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Chari,WC,aggressive,"Dyad,Win",POINT,60.388,60.388,NA,1,0,D,Rizzo
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Rizzo,AHI,submissive,"Dyad,Lose",POINT,62.008,62.008,NA,0,1,D,Chari
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Cat,AHD,aggressive,"Dyad,Win",POINT,94.659,94.659,NA,1,0,D,Esmeralda
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Esmeralda,ALI,submissive,"Dyad,Lose",POINT,94.660,94.660,NA,0,1,D,Cat
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Loretta,AHD,aggressive,"Dyad,Win",POINT,186.767,186.767,NA,1,0,D,Texas 2
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Texas 2,AHI,submissive,"Dyad,Lose",POINT,191.266,191.266,NA,0,1,D,Loretta
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Rizzo,AHD,aggressive,"Dyad,Win",POINT,360.690,360.690,NA,1,0,D,Cat
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Cat,ALI,submissive,"Dyad,Lose",POINT,361.441,361.441,NA,0,1,D,Rizzo
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Cat,AHD,aggressive,"Dyad,Win",POINT,439.762,439.762,NA,1,0,D,Loretta
03-09-20-Nikon DSC_0584,2020-03-31 14:32:32,F:/Oryx Videos/Social behavior videos/Filming cameras 2020/03-09-20/Nikon - Roof/DSC_0584.MOV,1200.050,59.94,Loretta,ALI,submissive,"Dyad,Lose",POINT,439.877,439.877,NA,0,1,D,Cat